Date,cluster_name,org_name,partner #1_name,partner #2_name,ADMIN1_NAME_ENG,ADMIN2_NAME_UKR,area_type,status_name,ACTIVITY,ACTIVITY_START,ACTIVITY_END,NUMBER_REACHED
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Kharkivska,Зачепилівський,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Kharkivska,Харківський,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Kharkivska,Харківський,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Kharkivska,Харківський,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,People In Need,,,Donetska,Селидове,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,People In Need,,,Donetska,,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,People In Need,,,Donetska,Артемівський,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Горлівка,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,World Food Programme,,,Donetska,Добропілля,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,World Food Programme,,,Donetska,Красноармійськ,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,World Food Programme,,,Donetska,Красний Лиман,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,World Food Programme,,,Donetska,Слов'янський,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,World Food Programme,,,Donetska,Артемівський,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,World Food Programme,,,Donetska,Горлівка,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,World Food Programme,,,Donetska,Красноармійськ,GCA,Ongoing,Other,,,
01-Jan-16,Food Security,World Food Programme,,,Donetska,,GCA,Ongoing,Other,,,
01-Feb-16,Education,United Nations Children's Fund,,,Donetska,Маріуполь,GCA,Ongoing,Children benefitting from learning materials,26-Jan-16,,20000
01-Feb-16,Education,United Nations Children's Fund,,,Kharkivska,Харків,GCA,Ongoing,Children benefitting from learning materials,26-Jan-16,,450
01-Feb-16,Education,United Nations Children's Fund,,,Donetska,,GCA,Planned,Emergency repairs to educational infrastructure inclusive of WASH,26-Jan-16,,1000
01-Feb-16,Education,United Nations Children's Fund,,,Donetska,,GCA,Planned,Emergency repairs to educational infrastructure inclusive of WASH,26-Jan-16,,1500
01-Feb-16,Education,United Nations Children's Fund,,,Luhanska,,GCA,Planned,Emergency repairs to educational infrastructure inclusive of WASH,26-Jan-16,,1500
01-Feb-16,Education,United Nations Children's Fund,,,Dnipropetrovska,,GCA,Planned,Emergency repairs to educational infrastructure inclusive of WASH,26-Jan-16,,1500
