"Day, Month, Year", Oblast,PCODE1,Raion,PCODE2,Urban-type settlement,PCODE3,[Admin4],PCODE4,Latitude,Longitude,Name of school / learning center,Type of school/ learning center,Type of education,Control area,Activity,Status,Activity start date,Activity completion date,Total Beneficiaries,Total ADULT Beneficiaries,Female,Male,Total CHILDREN Beneficiaries,Girls,Boys,Number of ECCD Units,Number of Schools/Kindergartens,Comments
2016-03-10,Kharkiv,6300000000,Khаrkiv,6310100000,Kharkivska,6310100000,,,49.9760938062,36.2673856804,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Planned,2016-01-01,,60,0,,,60,,,,,
2016-01-01,Kyiv City,8000000000,Kyiv,8000000000,Kyivska,8000000000,,,50.448392133,30.5475189417,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,2016-03-31,20,0,,,20,,,,,"Twice a month - master-classes (handmade, art-therapy). "
2016-01-01,Lviv,4600000000,Lviv,4610100000,Lvivska,4610100000,,,49.8301856694,24.0217806648,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,2016-03-31,20,0,,,20,,,,,"Twice a month - master-classes (handmade, art-therapy). "
2016-01-01,Kherson,6500000000,Kherson,6510100000,Khersonska,6510100000,,,46.657288344,32.6085660454,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,2016-03-31,20,0,,,20,,,,,"Twice a month - master-classes (handmade, art-therapy). "
2016-01-01,Kyiv City,8000000000,Kyiv,8000000000,Kyivska,8000000000,,,50.448392133,30.5475189417,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,2016-03-31,20,20,,,0,,,,,Twice a week - English Speaking Classes for Beginners and Upper-Intermediate levels 
2016-01-01,Lviv,4600000000,Lviv,4610100000,Lvivska,4610100000,,,49.8301856694,24.0217806648,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,2016-03-31,20,20,,,0,,,,,Twice a week - English Speaking Classes for Beginners and Upper-Intermediate levels 
2016-01-01,Kherson,6500000000,Kherson,6510100000,Khersonska,6510100000,,,46.657288344,32.6085660454,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,2016-03-31,20,20,,,0,,,,,Twice a week - English Speaking Classes for Beginners and Upper-Intermediate levels 
2016-03-01,Kyiv City,8000000000,Kyiv,8000000000,Kyivska,8000000000,,,50.448392133,30.5475189417,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,,58,0,,,58,,,,,
2016-03-01,Kyiv,3200000000,Brovаry,3210600000,Brovarska,3210600000,,,50.5065335515,30.8012998898,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,,21,0,,,21,,,,,
2016-03-01,Kyiv,3200000000,Kyievo-Sviatoshynskyi,3222400000,,#N/A,,,,,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,,20,0,,,20,,,,,
2016-03-01,Luhansk,4400000000,Luhаnsk,4410100000,Luhanska,4410100000,,,48.5632021816,39.3222535962,,,,NGCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,,102,0,,,102,,,,,
2016-03-01,Luhansk,4400000000,Stаrobilskyi,4425100000,Starobilska,4425110100,,,49.2772581678,38.9106560051,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-01,,117,0,,,117,,,,,
2016-01-26,Donetsk,1400000000,Mаriupol,1412300000,Mariupolska,1412300000,,,47.1258853282,37.5614121539,,,,GCA,Emergency supply of education kits & ECD kits. ,Ongoing,2016-01-26,,20000,0,,,20000,,,,,
2016-01-26,Kharkiv,6300000000,Khаrkiv,6310100000,Kharkivska,6310100000,,,49.9760938062,36.2673856804,,,,GCA,Emergency supply of education kits & ECD kits. ,Ongoing,2016-01-26,,450,0,,,450,,,,,
2016-01-26,Donetsk,1400000000,,#N/A,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Planned,2016-01-26,,1000,0,,,1000,,,,4,Heating repair in 4 schools
2016-01-26,Donetsk,1400000000,,#N/A,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Planned,2016-01-26,,1500,0,,,1500,,,,,New kindergarten spaces
2016-01-26,Luhansk,4400000000,,#N/A,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Planned,2016-01-26,,1500,0,,,1500,,,,,New kindergarten spaces
2016-01-26,Dnipropetrovsk,1200000000,,#N/A,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Planned,2016-01-26,,1500,0,,,1500,,,,,New kindergarten spaces
2016-01-26,Zaporizhzhya,2300000000,,#N/A,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Planned,2016-01-26,,1500,0,,,1500,,,,,New kindergarten spaces
2016-01-26,Kharkiv,6300000000,,#N/A,,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Planned,2016-01-26,,1500,0,,,1500,,,,,New kindergarten spaces
2016-01-26,Donetsk,1400000000,,#N/A,,#N/A,,,,,,,,GCA,Capacity building of parents/caregivers,Planned,2016-01-26,,2000,2000,,,0,,,,,Teaching of Parents
2016-01-26,Luhansk,4400000000,,#N/A,,#N/A,,,,,,,,GCA,Capacity building of parents/caregivers,Planned,2016-01-26,,2000,2000,,,0,,,,,Teaching of Parents
2016-01-26,Dnipropetrovsk,1200000000,,#N/A,,#N/A,,,,,,,,GCA,Capacity building of parents/caregivers,Planned,2016-01-26,,2000,2000,,,0,,,,,Teaching of Parents
2016-01-26,Zaporizhzhya,2300000000,,#N/A,,#N/A,,,,,,,,GCA,Capacity building of parents/caregivers,Planned,2016-01-26,,2000,2000,,,0,,,,,Teaching of Parents
2016-01-26,Kharkiv,6300000000,,#N/A,,#N/A,,,,,,,,GCA,Capacity building of parents/caregivers,Planned,2016-01-26,,2000,2000,,,0,,,,,Teaching of Parents
2016-01-26,Donetsk,1400000000,,#N/A,,#N/A,,,,,,,,GCA,Capacity building of parents/caregivers,Planned,2016-01-26,,200,200,,,0,,,,,Teaching of Caregivers
2016-01-26,Luhansk,4400000000,,#N/A,,#N/A,,,,,,,,GCA,Capacity building of parents/caregivers,Planned,2016-01-26,,200,200,,,0,,,,,Teaching of Caregivers
2016-01-26,Dnipropetrovsk,1200000000,,#N/A,,#N/A,,,,,,,,GCA,Capacity building of parents/caregivers,Planned,2016-01-26,,200,200,,,0,,,,,Teaching of Caregivers
2016-01-26,Zaporizhzhya,2300000000,,#N/A,,#N/A,,,,,,,,GCA,Capacity building of parents/caregivers,Planned,2016-01-26,,200,200,,,0,,,,,Teaching of Caregivers
2016-01-26,Kharkiv,6300000000,,#N/A,,#N/A,,,,,,,,GCA,Capacity building of parents/caregivers,Planned,2016-01-26,,200,200,,,0,,,,,Teaching of Caregivers
2016-01-26,Donetsk,1400000000,,#N/A,,#N/A,,,,,,,,GCA,Life skills education and improve resilience of conflict affected populations through children in peace,Ongoing,2016-01-01,,10648,648,,,10000,,,,,
2016-01-26,Luhansk,4400000000,,#N/A,,#N/A,,,,,,,,GCA,Life skills education and improve resilience of conflict affected populations through children in peace,Ongoing,2016-01-01,,10648,648,,,10000,,,,,
2016-01-26,Dnipropetrovsk,1200000000,,#N/A,,#N/A,,,,,,,,GCA,Life skills education and improve resilience of conflict affected populations through children in peace,Ongoing,2016-01-01,,10648,648,,,10000,,,,,
2016-01-26,Kharkiv,6300000000,,#N/A,,#N/A,,,,,,,,GCA,Life skills education and improve resilience of conflict affected populations through children in peace,Ongoing,2016-01-01,,10648,648,,,10000,,,,,
2016-01-26,Zaporizhzhya,2300000000,,#N/A,,#N/A,,,,,,,,GCA,Life skills education and improve resilience of conflict affected populations through children in peace,Ongoing,2016-01-01,,10648,648,,,10000,,,,,
2016-02-01,Kharkiv,6300000000,Khаrkiv,6310100000,Kharkivska,6310100000,,,49.9760938062,36.2673856804,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2016-01-13,2016-04-30,234,117,85,32,117,52,65,,,
2016-02-05,Kharkiv,6300000000,Khаrkiv,6310100000,Kharkivska,6310100000,,,49.9760938062,36.2673856804,,,,GCA,Establish and support early childhood care and development (ECCD) units,Ongoing,2015-12-01,2016-09-01,638,281,227,54,357,222,135,,,
2016-02-05,Kharkiv,6300000000,Khаrkiv,6310100000,Kharkivska,6310100000,,,49.9760938062,36.2673856804,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Completed,2016-01-01,2016-02-01,252,0,,,0,,,,,
2016-02-05,Kharkiv,6300000000,Chuhuiv,6312000000,Chuhuivska,6312000000,,,49.8354897012,36.6787028083,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-12-01,2016-09-01,248,56,39,17,192,160,32,,,
2016-02-10,National Level,UA,,#N/A,,#N/A,,,,,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Completed,2015-02-01,2016-04-01,11250,0,,,0,,,,,
2016-02-10,National Level,UA,,#N/A,,#N/A,,,,,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Completed,2015-08-01,2016-03-01,23452,0,,,0,,,,,
2016-02-10,Luhansk,4400000000,Stаnychno-Luhаnskyi,4424800000,Stanychno-luhanska,4424855100,,,48.6553030781,39.4750546234,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Completed,2016-01-21,2016-01-29,68,26,18,8,42,20,22,,,Kondrashovka kindergarten №21
